id,Churn
594194,0.183746713
594195,0.003736723
594196,0.162777696
594197,0.006844012
594198,0.589758535
594199,0.209106483
594200,0.913984009
594201,0.006174896
594202,0.050935049
594203,0.423805984
594204,0.009026661
594205,0.027933594
594206,0.215918386
594207,0.881560155
594208,0.004818909
594209,0.033278265
594210,0.626906453
594211,0.009074311
594212,0.892617846
594213,0.326255794
594214,0.004916803
594215,0.635239095
594216,0.006089445
594217,0.948031739
594218,0.049595068
594219,0.254038044
594220,0.006205241
594221,0.02824817
594222,0.005712797
594223,0.921032395
594224,0.004853924
594225,0.025736911
594226,0.963743048
594227,0.174495547
594228,0.227577091
594229,0.044042546
594230,0.003923565
594231,0.249644095
594232,0.033343518
594233,0.958643635
594234,0.681510365
594235,0.65159925
594236,0.897715434
594237,0.154724749
594238,0.088976164
594239,0.921714356
594240,0.586017111
594241,0.82851403
594242,0.666616527
594243,0.011109989
594244,0.047306867
594245,0.355913758
594246,0.547523263
594247,0.620253112
594248,0.458910415
594249,0.241981677
594250,0.004851104
594251,0.87133245
594252,0.840698603
594253,0.005813138
594254,0.353836384
594255,0.584471267
594256,0.004735941
594257,0.340782617
594258,0.282495171
594259,0.009977392
594260,0.923021624
594261,0.119818315
594262,0.87176603
594263,0.058350195
594264,0.764702439
594265,0.010374665
594266,0.211018778
594267,0.007243965
594268,0.004070425
594269,0.242959112
594270,0.086733472
594271,0.565466672
594272,0.025395034
594273,0.609112739
594274,0.021539034
594275,0.15189016
594276,0.206562369
594277,0.0263952
594278,0.851698587
594279,0.927322618
594280,0.524278819
594281,0.014399506
594282,0.83215197
594283,0.273035889
594284,0.003848492
594285,0.144358246
594286,0.767912077
594287,0.006813435
594288,0.016483926
594289,0.004844734
594290,0.004233836
594291,0.006205538
594292,0.11127034
594293,0.790068818
594294,0.129315809
594295,0.523159701
594296,0.213796239
594297,0.030775494
594298,0.006535517
594299,0.119849538
594300,0.439118388
594301,0.362948693
594302,0.774623998
594303,0.077777144
594304,0.815440416
594305,0.198220868
594306,0.058085079
594307,0.004639142
594308,0.441722597
594309,0.855685276
594310,0.903931004
594311,0.004166558
594312,0.051364566
594313,0.004802981
594314,0.22734072
594315,0.856589741
594316,0.006381902
594317,0.218224536
594318,0.006730851
594319,0.004467181
594320,0.646329193
594321,0.007985401
594322,0.07971047
594323,0.029827419
594324,0.508495697
594325,0.010648562
594326,0.043519322
594327,0.857496067
594328,0.336027161
594329,0.420537099
594330,0.006844921
594331,0.81071236
594332,0.01121644
594333,0.695242757
594334,0.009707943
594335,0.332931963
594336,0.005340092
594337,0.088420745
594338,0.006262927
594339,0.569637969
594340,0.165244303
594341,0.006860676
594342,0.331676677
594343,0.37929368
594344,0.075496126
594345,0.525404267
594346,0.005256981
594347,0.014122645
594348,0.004209154
594349,0.299758757
594350,0.40963506
594351,0.004114585
594352,0.009306317
594353,0.009197483
594354,0.02817548
594355,0.005910826
594356,0.200710322
594357,0.008539475
594358,0.260246407
594359,0.009068762
594360,0.143078352
594361,0.004748148
594362,0.007448196
594363,0.05008708
594364,0.435920312
594365,0.034177828
594366,0.144425967
594367,0.463833732
594368,0.006785073
594369,0.605910843
594370,0.008565671
594371,0.594913019
594372,0.274954882
594373,0.229564454
594374,0.047841155
594375,0.151148793
594376,0.082035402
594377,0.020163955
594378,0.091258296
594379,0.005154329
594380,0.542599347
594381,0.592700466
594382,0.37687735
594383,0.005139355
594384,0.181902316
594385,0.018418264
594386,0.535154591
594387,0.004073988
594388,0.802183303
594389,0.345487368
594390,0.003510529
594391,0.540861963
594392,0.23185081
594393,0.646013602
594394,0.282986019
594395,0.018817824
594396,0.364782967
594397,0.018937824
594398,0.571868669
594399,0.605585528
594400,0.258782987
594401,0.922415006
594402,0.012764057
594403,0.240361083
594404,0.028190629
594405,0.883573274
594406,0.072060106
594407,0.038978043
594408,0.470574439
594409,0.083289296
594410,0.027722244
594411,0.738729151
594412,0.551151738
594413,0.010452321
594414,0.009307264
594415,0.003793176
594416,0.697456309
594417,0.00394856
594418,0.00656489
594419,0.006467238
594420,0.007747283
594421,0.854157441
594422,0.111935995
594423,0.024404231
594424,0.021810415
594425,0.003380967
594426,0.006793734
594427,0.842682702
594428,0.008745476
594429,0.013424605
594430,0.029730267
594431,0.361358564
594432,0.009053099
594433,0.715876974
594434,0.015337324
594435,0.213362534
594436,0.252044558
594437,0.006240226
594438,0.028406624
594439,0.025249968
594440,0.006857339
594441,0.008173303
594442,0.0188335
594443,0.015259783
594444,0.751456714
594445,0.740109676
594446,0.006373761
594447,0.723592457
594448,0.447750108
594449,0.04920971
594450,0.066403774
594451,0.226862412
594452,0.11984354
594453,0.005169504
594454,0.054431706
594455,0.829540759
594456,0.799434058
594457,0.030184728
594458,0.321773694
594459,0.012602296
594460,0.070095656
594461,0.023649975
594462,0.189726895
594463,0.024088671
594464,0.137076257
594465,0.034785924
594466,0.34759099
594467,0.008946253
594468,0.010348989
594469,0.005525045
594470,0.432970889
594471,0.009219814
594472,0.360741081
594473,0.053974535
594474,0.574594009
594475,0.062232563
594476,0.882797515
594477,0.012126663
594478,0.607929289
594479,0.760495545
594480,0.458010798
594481,0.267725046
594482,0.020873089
594483,0.025738785
594484,0.711021526
594485,0.010442135
594486,0.18163512
594487,0.012075737
594488,0.023820021
594489,0.687793138
594490,0.035504981
594491,0.004674184
594492,0.720143299
594493,0.647716696
594494,0.635072507
594495,0.604557085
594496,0.179181207
594497,0.019330374
594498,0.407231608
594499,0.011970276
594500,0.313581026
594501,0.131857839
594502,0.005175285
594503,0.005410048
594504,0.003988787
594505,0.286298575
594506,0.47519339
594507,0.647144357
594508,0.359828912
594509,0.482707295
594510,0.00514532
594511,0.018437956
594512,0.323085169
594513,0.125113194
594514,0.047085503
594515,0.560915024
594516,0.004660975
594517,0.223052491
594518,0.004793091
594519,0.025234378
594520,0.040227637
594521,0.003889317
594522,0.297502678
594523,0.004136856
594524,0.682085571
594525,0.104983884
594526,0.637314592
594527,0.232365139
594528,0.008956632
594529,0.255615057
594530,0.017548667
594531,0.379224493
594532,0.81934135
594533,0.736561311
594534,0.291962716
594535,0.009777906
594536,0.79740376
594537,0.793683467
594538,0.559338853
594539,0.738047222
594540,0.736055307
594541,0.553466777
594542,0.00743766
594543,0.572238388
594544,0.398061899
594545,0.01471086
594546,0.004424912
594547,0.008949391
594548,0.006074167
594549,0.014930078
594550,0.022787753
594551,0.034424736
594552,0.01091942
594553,0.324319943
594554,0.67455087
594555,0.014393451
594556,0.81035774
594557,0.020302512
594558,0.133058149
